Comment,Designator,Footprint,LCSC
Programming_Header,J1,IDC-Header_2x03_P2.54mm_Vertical,C11214
ATmega328P-AU,U3,TQFP-32_7x7mm_P0.8mm,C14877
Crystal_Small,Y1,Crystal_HC49-U_Vertical,C16212
22pF,"C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C24658
10k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25612
100nF,"C1,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
10uF,"C6,C7",CP_Radial_D4.0mm_P1.50mm,C694328
10K,"RN1,RN2",R_Array_SIP9,C8692
MountingHole_Pad,H1,MountingHole_3.2mm_M3_DIN965_Pad,
LED_PWR,D1,LED_1206_3216Metric,
Conn_01x02,J6,PinHeader_1x02_P2.54mm_Vertical,
1k,R1,LED_1206_3216Metric,
SW_SPST,SW1,SW_Push_SPST_NO_Alps_SKRK,
MountingHole_Pad,H3,MountingHole_3.2mm_M3_DIN965_Pad,
AO3400A,Q1,SOT-23,
ToRelays,J3,IDC-Header_2x05_P2.54mm_Vertical,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_DIN965_Pad,
FromController,J2,IDC-Header_2x05_P2.54mm_Vertical,
Conn_ExtraFan,J5,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,
Conn_01x06,J7,PinSocket_1x06_P2.54mm_Vertical,
Conn_IR,J4,TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal,
